id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl
3740608,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-antoniego-mackiewicza-2-pokojowe-a9q2u7,6 dni temu,16,Łódź Bałuty,ul. Antoniego Mackiewicza,Mieszkanie,2,47,True,315 000,6 702zł / m²
3747664,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-2-pokojowe-r7h8f4,dzisiajnowe,11,Łódź Górna,ul. Ignacego Paderewskiego,Mieszkanie,2,37,True,295 000,7 973zł / m²
3747648,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rojna-2-pokojowe-o1j7v9,dzisiajnowe,11,Łódź Bałuty,ul. Rojna,Mieszkanie,2,45,True,309 000,6 847zł / m²
3747458,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-gdanska-5-pokojowe-e7u3g5,dzisiajnowe,13,Łódź Śródmieście,ul. Gdańska,Mieszkanie,5,125,True,699 000,5 614zł / m²
3746066,https://adresowo.pl/o/mieszkanie-lodz-ul-ignacego-paderewskiego-2-pokojowe-m0h5h3,dzisiajnowe,10,Łódź,ul. Ignacego Paderewskiego,Mieszkanie,2,38,True,365 000,9 605zł / m²
3747578,https://adresowo.pl/o/mieszkanie-lodz-ksiezy-mlyn-2-pokojowe-38-m2-h4r7c5,dzisiajnowe,12,Łódź Księży Młyn,,Mieszkanie,2,39,True,295 000,7 642zł / m²
3747496,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-przemyslowa-3-pokojowe-u8j6c1,dzisiajnowe,8,Łódź Bałuty,ul. Przemysłowa,Mieszkanie,3,47,True,405 000,8 617zł / m²
3745738,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-antoniego-mackiewicza-2-pokojowe-u4c2g0,wczoraj,7,Łódź Bałuty,ul. Antoniego Mackiewicza,Mieszkanie,2,45,True,369 000,8 200zł / m²
3745316,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wawelska-2-pokojowe-d6d8m9,wczoraj,18,Łódź Bałuty,ul. Wawelska,Mieszkanie,2,33,True,269 000,8 083zł / m²
3747448,https://adresowo.pl/o/mieszkanie-lodz-baluty-al-harcerzy-zatorowcow-2-pokojowe-e2l8n5,dzisiajnowe,6,Łódź Bałuty,al. Harcerzy-Zatorowców,Mieszkanie,2,38,True,341 900,8 997zł / m²
3747402,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-rabienska-3-pokojowe-a6a6e1,dzisiajnowe,20,Łódź Polesie,ul. Rąbieńska,Mieszkanie,3,60,True,690 000,11 500zł / m²
3744276,https://adresowo.pl/o/mieszkanie-lodz-ul-pienista-3-pokojowe-l0k4c8,wczoraj,12,Łódź,ul. Pienista,Mieszkanie,3,69,True,700 000,10 161zł / m²
3743562,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-zachodnia-1-pokoj-m1c6z8,4 dni temu,6,Łódź Śródmieście,ul. Zachodnia,Mieszkanie,1,33,True,299 000,9 061zł / m²
3747026,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-zbiorcza-1-pokoj-y6h3b8,dzisiajnowe,1,Łódź Śródmieście,ul. Zbiorcza,Mieszkanie,1,37,True,340 000,9 189zł / m²
3746598,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lagiewnicka-1-pokoj-b3j0o1,dzisiajnowe,8,Łódź Bałuty,ul. Łagiewnicka,Mieszkanie,1,22,True,199 000,9 045zł / m²
3743536,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-gen-jaroslawa-dabrowskiego-2-pokojowe-c4m0a5,4 dni temu,11,Łódź Górna,ul. gen. Jarosława Dąbrowskiego,Mieszkanie,2,36,True,295 000,8 194zł / m²
